index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
1,Bahaman Lesser Funnel-eared Bat,Endangered Mammals of Central America,Chilonatalus tumidifrons,Mammals,NT-IUCN: 2008,Bahamas,NA
2,Bahamian Hutia,Endangered Mammals of Central America,Geocapromys ingrahami,Mammals,VU-IUCN: 2008,Bahamas,Ingraham's Hutia
3,Bangs's Mountain Squirrel,Endangered Mammals of Central America,Syntheosciurus brochus,Mammals,NT-IUCN: 2008,"Costa Rica, Panama",Neotropical Montane Squirrel
4,Big Deer Mouse,Endangered Mammals of Central America,Peromyscus grandis,Mammals,NT-IUCN: 2008,Guatemala,Large Deer Mouse
5,Black-tailed Hutia,Endangered Mammals of Central America,Mesocapromys melanurus,Mammals,VU-IUCN: 2008,Cuba,"Mysateles melanurus, Bushy-tailed Hutia"
6,Brown-headed Spider Monkey,Endangered Mammals of Central America,Ateles fusciceps,Mammals,CR-IUCN: 2008,"Colombia, Ecuador, Panama",Black-headed Spider Monkey
7,Bush Dog,Endangered Mammals of Central America,Speothos venaticus,Mammals,NT-IUCN: 2008,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Panama, Paraguay, Peru, Suriname, Venezuela","Savannah Dog, Vinegar Dog"
8,Cabrera's Hutia,Endangered Mammals of Central America,Capromys angelcabrerai,Mammals,"EN-US FWS: May 16, 1986EN-IUCN: 2008",Cuba,Mesocapromys angelcabrerai
9,Central American Tapir,Endangered Mammals of Central America,Tapirus bairdii,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southern Mexico to Colombia and Ecuador,Baird's Tapir
10,Cloud Forest Rice Rat,Endangered Mammals of Central America,Handleyomys saturatior,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Honduras, Mexico, Nicaragua",Oryzomys saturatior
11,Coiban Agouti,Endangered Mammals of Central America,Dasyprocta coibae,Mammals,VU-IUCN: 2008,Panama,NA
12,Cotton-top Marmoset,Endangered Mammals of Central America,Saguinus oedipus,Mammals,"EN-US FWS: October 19, 1976CR-IUCN: 2008",Costa Rica to Colombia,Cotton-headed Tamarin
13,Cougar,Endangered Mammals of Central America,Puma concolor,Mammals,"EN-US FWS: P. c. coryi - March 11, 1967, P. c. costaricensis - June 14, 1976, P. c. couguar - June 4, 1973",North and Central America,"Also called the Puma or Mountain Lion. 3 subspecies endangered: Florida Panther (Puma or Felis concolor coryi), Costa Rican Puma (Puma or Felis concolor costaricensis), Eastern Puma (Puma or Felis concolor couguar)"
14,Crested Tailed Deer Mouse,Endangered Mammals of Central America,Habromys lophurus,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Mexico",NA
15,Cuban Evening Bat,Endangered Mammals of Central America,Nycticeius cubanus,Mammals,NT-IUCN: 2008,Cuba,NA
16,Cuban Greater Funnel-eared Bat,Endangered Mammals of Central America,Natalus primus,Mammals,CR-IUCN: 2008,Cuba,NA
17,Cuban Lesser Funnel-eared Bat,Endangered Mammals of Central America,Chilonatalus micropus,Mammals,NT-IUCN: 2008,"Colombia, Cuba, Dominican Republic, Haiti, Jamaica",NA
18,Cuban Solenodon,Endangered Mammals of Central America,Solenodon cubanus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Cuba,Almiqui
19,Cuban Yellow Bat,Endangered Mammals of Central America,Lasiurus insularis,Mammals,VU-IUCN: 2008,Cuba,NA
20,Cuvier's Hutia,Endangered Mammals of Central America,Plagiodontia aedium,Mammals,EN-IUCN: 2008,"Dominican Republic, Haiti",Hispaniolan Hutia
21,Darien Small Eared Shrew,Endangered Mammals of Central America,Cryptotis mera,Mammals,EN-IUCN: 2008,"Colombia, Panama",NA
22,Dwarf Hutia,Endangered Mammals of Central America,Capromys nana,Mammals,"EN-US FWS: May 16, 1986CR-IUCN: 2008",Cuba,"Capromys nanus, Geocapromys nanus, formerly Mesocapromys nanus"
23,Galapagos Sea Lion,Endangered Mammals of Central America,Zalophus wollebaeki,Mammals,EN-IUCN: 2008,"Colombia, Costa Rica, Ecuador",Zalophus californianus ssp. wollebaeki
24,Garrido's Hutia,Endangered Mammals of Central America,Mysateles garridoi,Mammals,CR-IUCN: 2008,Cuba,NA
25,Geoffroy's Spider Monkey,Endangered Mammals of Central America,Ateles geoffroyi,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","Costa Rica, Nicaragua, Panama","Also called the Black-handed Spider Monkey. 2 subspecies endangered: Black-foreheaded spider monkey (Ateles geoffroyi frontatus), Panamanian red spider monkey (Ateles geoffroyl panamensis)"
26,Giant Anteater,Endangered Mammals of Central America,Myrmecophaga tridactyla,Mammals,VU-IUCN: 2010,Central and South America,NA
27,Guadeloupe Big Brown Bat,Endangered Mammals of Central America,Eptesicus guadeloupensis,Mammals,VU-IUCN: 2008,Guadeloupe,NA
28,Guadeloupe Big-eyed Bat,Endangered Mammals of Central America,Chiroderma improvisum,Mammals,VU-IUCN: 2008,"Guadeloupe, Montserrat",NA
29,Guatemalan Black Howler Monkey,Endangered Mammals of Central America,Alouatta pigra,Mammals,EN-IUCN: 2008,"Belize, Guatemala, Mexico (Campeche, Chiapas, Quintana Roo, Tabasco, Yucatan)","Lawrence's Howler Monkey, Mexican Black Howler Monkey, Yucatan Black Howler Monkey"
30,Guatemalan Vole,Endangered Mammals of Central America,Microtus guatemalensis,Mammals,NT-IUCN: 2008,"Guatemala, Mexico",NA
31,Haitian Solenodon,Endangered Mammals of Central America,Solenodon paradoxus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008","Dominican Republic, Haiti",Hispaniolan Solenodon
32,Handley's Tailless Bat,Endangered Mammals of Central America,Anoura cultrata,Mammals,NT-IUCN: 2008,"Bolivia, Colombia, Costa Rica, Ecuador, Panama, Peru, Venezuela",NA
33,Honduran White Bat,Endangered Mammals of Central America,Ectophylla alba,Mammals,NT-IUCN: 2008,"Costa Rica, Honduras, Nicaragua, Panama",NA
34,Hooded Seal,Endangered Mammals of Central America,Cystophora cristata,Mammals,VU-IUCN: 2008,"Asia, Central America, Europe, North America, Oceanic, South America",NA
35,Jaguar,Endangered Mammals of Central America,Panthera onca,Mammals,"NT-IUCN: 2008EN-US FWS: March 28, 1972","Arizona, California, Central and South America, Louisiana, Mexico, New Mexico, Texas",NA
36,Jaguarundi,Endangered Mammals of Central America,Herpailurus yagouaroundi,Mammals,"EN-US FWS: June 14, 1976","Arizona, Costa Rica, Mexico, Nicaragua, Panama, Texas","Also called the Otter Cat. 4 ssp. endangered: Panamanian J. (Herpailurus yagouaroundi panamensis), Guatemalan J. (Herpailurus yagouaroundi fossata), Gulf Coast J. (Herpailurus yagouaroundi cacomitli), Sinaloan J. (Herpailurus yagouaroundi tolteca)"
37,Jamaican Greater Funnel-eared Bat,Endangered Mammals of Central America,Natalus jamaicensis,Mammals,CR-IUCN: 2008,Jamaica,NA
38,Jamaican Red Bat,Endangered Mammals of Central America,Lasiurus degelidus,Mammals,VU-IUCN: 2008,Jamaica,NA
39,Large-eared Hutia,Endangered Mammals of Central America,Capromys auritus,Mammals,"EN-US FWS: May 16, 1986EN-IUCN: 2008",Cuba,Mesocapromys auritus
40,Lesser Long-nosed Bat,Endangered Mammals of Central America,Leptonycteris curasoae yerbabuenae,Mammals,"VU-IUCN: 2008EN-US FWS: September 30, 1988","Arizona, El Salvador, Guatemala, Honduras, Mexico, New Mexico",Leptonycteris yerbabuenae (IUCN)
41,Little Earth Hutia,Endangered Mammals of Central America,Capromys sanfelipensis,Mammals,"EN-US FWS: May 16, 1986CR-IUCN: 2008",Cuba,"San Felipe Hutia, Mesocapromys sanfelipensis"
42,Little Goblin Bat,Endangered Mammals of Central America,Mormopterus minutus,Mammals,VU-IUCN: 2008,Cuba,NA
43,Little Spotted Cat,Endangered Mammals of Central America,Leopardus tigrinus,Mammals,"EN-US FWS: March 28, 1972VU-IUCN: 2008",Costa Rica to Northern Argentina,"Tiger Cat, Felis tigrinus, Tiger Ocelot, Oncilla"
44,Mantled Howler Monkey,Endangered Mammals of Central America,Alouatta palliata,Mammals,"EN-US FWS: June 14, 1976",Mexico to South America,Golden-mantled Howling Monkey
45,Margay,Endangered Mammals of Central America,Leopardus wiedii,Mammals,"NT-IUCN: 2008EN-US FWS: March 28, 1972","Central and South America, Mexico","Felis wiedii, Long-tailed Spotted Cat, Tree Ocelot"
46,Mexican Agouti,Endangered Mammals of Central America,Dasyprocta mexicana,Mammals,CR-IUCN: 2008,"Cuba, Mexico",NA
47,Mexican Long-nosed Bat,Endangered Mammals of Central America,Leptonycteris nivalis,Mammals,"EN-US FWS: September 30, 1988EN-IUCN: 2008","Central America, Mexico, New Mexico, Texas",Greater Long-nosed Bat
48,Mexican Long-tongued Bat,Endangered Mammals of Central America,Choeronycteris mexicana,Mammals,NT-IUCN: 2008,"Arizona, California, El Salvador, Guatemala, Honduras, Mexico, Nevada, New Mexico, Texas",NA
49,Minor Red Bat,Endangered Mammals of Central America,Lasiurus minor,Mammals,VU-IUCN: 2008,"Bahamas, Dominican Republic, Haiti, Puerto Rico",NA
50,Nelson's Spiny Pocket Mouse,Endangered Mammals of Central America,Heteromys nelsoni,Mammals,EN-IUCN: 2008,"Guatemala, Mexico",NA
51,Ocelot,Endangered Mammals of Central America,Leopardus pardalis,Mammals,"EN-US FWS: March 28, 1972","USA (Arizona, Texas) to Central and South America","Painted Leopard, Tigrillo, Felis pardalis"
52,Prehensile-tailed Hutia,Endangered Mammals of Central America,Mysateles prehensilis,Mammals,NT-IUCN: 2008,Cuba,NA
53,Pygmy Three-toed Sloth,Endangered Mammals of Central America,Bradypus pygmaeus,Mammals,CR-IUCN: 2011,Panama,NA
54,Red Fruit Bat,Endangered Mammals of Central America,Stenoderma rufum,Mammals,VU-IUCN: 2008,"Puerto Rico, Virgin Islands",NA
55,Red-backed Squirrel Monkey,Endangered Mammals of Central America,Saimiri oerstedii,Mammals,"VU-IUCN: 2008EN-US FWS: June 2, 1970","Costa Rica, Panama",Black-crowned Central American Squirrel Monkey
56,Roatan Island Agouti,Endangered Mammals of Central America,Dasyprocta ruatanica,Mammals,EN-IUCN: 2008,Honduras (Honduran Caribbean Is.),Ruatan Island Agouti
57,Sambar Deer,Endangered Mammals of Central America,Rusa unicolor,Mammals,VU-IUCN: 2008,"Africa, Asia, Australia, Central America, North America (United States)",Cervus unicolor
58,Schwartz's Myotis,Endangered Mammals of Central America,Myotis martiniquensis,Mammals,VU-IUCN: 2008,West Indies,NA
59,Southern Hutia,Endangered Mammals of Central America,Mysateles meridionalis,Mammals,CR-IUCN: 2008,Cuba,Isla De La Juventud Tree Hutia
60,Spectral Bat,Endangered Mammals of Central America,Vampyrum spectrum,Mammals,NT-IUCN: 2008,"Belize, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Peru, Suriname, Trinidad and Tobago, Venezuela",NA
61,Striped Rice Rat,Endangered Mammals of Central America,Handleyomys rhabdops,Mammals,VU-IUCN: 2008,"Guatemala, Mexico","Highland Oryzomys, Oryzomys rhabdops"
62,Thomas's Sac-winged Bat,Endangered Mammals of Central America,Balantiopteryx io,Mammals,VU-IUCN: 2008,"Belize, Guatemala, Mexico",NA
63,Thomas's Water Mouse,Endangered Mammals of Central America,Rheomys thomasi,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Honduras, Mexico",NA
64,Van Gelder's Bat,Endangered Mammals of Central America,Bauerus dubiaquercus,Mammals,NT-IUCN: 2008,"Belize, Guatemala, Honduras, Mexico, Nicaragua",Antrozous dubiaquercus
65,West Indian Manatee,Endangered Mammals of Central America,Trichechus manatus,Mammals,"EN-US FWS: March 11, 1967VU-IUCN: 2008","Caribbean Sea, South America, Southeastern USA","Sea Cow, Florida Manatee, American Manatee"
66,White-lipped Peccary,Endangered Mammals of Central America,Tayassu pecari,Mammals,T-US FWS:,"Central America, North America, South America",NA
67,Yucatan Brown Brocket Deer,Endangered Mammals of Central America,Mazama pandora,Mammals,VU-IUCN: 2008,"Belize, Guatemala, Mexico",NA
